name,val
Registered Voters,REGISTERED VOTERS - TOTAL
Ballots Cast,BALLOTS CAST - TOTAL
Blank Ballots Cast,BALLOTS CAST - BLANK
Gary Johnson,Gary Johnson - Bill Weld
Jill Stein,Jill Stein - Ajamu Baraka
Donald J. Trump,Donald J. Trump - Michael R. Pence
Hillary Clinton,Hillary Clinton - Tim Kaine
Write-In,WRITE-IN
Over Votes,OVER VOTES
Under Votes,UNDER VOTES
Yes,"YES, to approve"
No,"NO, to reject"
No Candidate,NO CANDIDATE FILED
''''Franko'''' Frank O. Agbro,''Franko'' Frank O. Agbro
T''''Chaka M. Sapp,T''Chaka M. Sapp
